"Taxon","Difference_0_to_60","C.I_Overlap"
"EndemicButterflies",-5.75384781843081,"Overlap"
"NativeNonEndemicButterflies",6.6210603773557,"Overlap"
"EndemicReptiles",-5.40222004101735,"No overlap"
"NativeNonEndemicReptiles",3.4303859892501,"No overlap"
"EndemicAmphibians",0.248340378660114,"Overlap"
"NativeNonEndemicAmphibians",-4.08510149791737,"Overlap"
"EndemicHerbs",2.29015147453066,"Overlap"
"ExoticHerbs",-0.449689743216149,"Overlap"
"NativeNonEndemicHerbs",42.9936601560709,"Overlap"
"EndemicTrees",-118.579370480193,"No overlap"
"ExoticTrees",-13.79913720041,"Overlap"
"NativeNonEndemicTrees",-8.50341242591914,"No overlap"
"ExoticAnts",-7.57137677974369,"Overlap"
"EndemicAnts",21.7224742673296,"Overlap"
"NativeNonEndemicAnts",6.30785489720044,"Overlap"
"ExoticBirds",0.245348340611858,"Overlap"
"EndemicBirds",-2.31712152228812,"Overlap"
"NativeNonEndemicBirds",0.993630505141984,"Overlap"
